protocol,swaps_hash,swaps_timestamp,swaps_to,swaps_from,swaps_blockNumber,swaps_tokenIn_id,swaps_tokenIn_symbol,swaps_amountIn,swaps_tokenOut_id,swaps_tokenOut_symbol,swaps_amountOut,swaps_amountInUSD,swaps_amountOutUSD,swaps_pool_id
Curve,0xe4e5e331f5e602a7bf5d4d3fc6f982cc19f8ec85136665740a0ea37261b3dca3,1696401503,0xd51a44d3fae010294c616388b506acda1bfaae46,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,18275419,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,7546380848,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,4608295709613226697,7546.380848,7560.277775277267,0xd51a44d3fae010294c616388b506acda1bfaae46
Curve,0xe4fb9f13a0b991f5438d9479c8df1e665e76261ffd947abf02fd7b5cbf8443f0,1696426739,0xdcef968d416a41cdac0ed8702fac8128a64241a2,0x25e9aca5951262241290841b6f863d59d37dc4f0,18277507,0x853d955acef822db058eb8505911ed77f175b99e,FRAX,2000000000000000000000,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,1995600713,2000.0,1995.600713,0xdcef968d416a41cdac0ed8702fac8128a64241a2
Curve,0xe59bffe36592e3e2d4b80af94d50733ca1cb78a72f7ed08cc08a622bb967c726,1696459871,0x971add32ea87f10bd192671630be3be8a11b8623,0x2b95a1dcc3d405535f9ed33c219ab38e8d7e0884,18280249,0xd533a949740bb3306d119cc777fa900ba034cd52,CRV,232000000000000000000000,0x62b9c7356a2dc64a1969e19c23e4f579f9810aa7,cvxCRV,235528372560250677819508,111840.704,117715.19637863281,0x971add32ea87f10bd192671630be3be8a11b8623
Curve,0xe5c807a5eb97f76f77d4029a6226a7e22591a5f48ee27aaf87356dc8b6ee4014,1696426643,0xc89570207c5ba1b0e3cd372172ccaefb173db270,0x9008d19f58aabd9ed0d60971565aa8510560ab41,18277499,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,95612730845785814,0x4591dbff62656e7859afe5e45f6f47d3669fbb28,mkUSD,156475444209733972637,157.42187958644067,0.0,0xc89570207c5ba1b0e3cd372172ccaefb173db270
Curve,0xe5df9112e1ab5c9d28dcb020a5d4c22b54d3e449b7335e5023fffedae8cc83dd,1696429559,0xfc8c34a3b3cfe1f1dd6dbccec4bc5d3103b80ff0,0xf283ede9aee038f226a620ca04b43131c60cace2,18277740,0xdb25f211ab05b1c97d595516f45794528a807ad8,EURS,2165,0x5e5d9aeec4a6b775a175b883dca61e4297c14ecb,FLR,21641638033601216997,22.7877075,0.0,0xfc8c34a3b3cfe1f1dd6dbccec4bc5d3103b80ff0
Curve,0xe625a417645e66516abe2fafbf7c0a8399b0ab5b354793c2024a1f6b91646025,1696447367,0x4dece678ceceb27446b35c672dc7d61f30bad69e,0xe927fd52e91617cd2d7b77aa39ce94ab9fb09ed3,18279216,0xf939e0a03fb07f59a73314e73794be0e57ac1b4e,crvUSD,4316204875566189284737,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,4311631103,4311.476473125006,4311.631103,0x4dece678ceceb27446b35c672dc7d61f30bad69e
Curve,0xe68312a1e409fcc51984aa723683a1f5d4b7dab42616f483cd202aa856238ed2,1696398371,0x9d0464996170c6b9e75eed71c68b99ddedf279e8,0x5079fc00f00f30000e0c8c083801cfde000008b6,18275158,0x62b9c7356a2dc64a1969e19c23e4f579f9810aa7,cvxCRV,580807428484922362061,0xd533a949740bb3306d119cc777fa900ba034cd52,CRV,570363252506985372288,290.10866406879086,275.6719597444437,0x9d0464996170c6b9e75eed71c68b99ddedf279e8
Curve,0xe6942b924760b850f4b82c6c1f99c556d465dfd2f113853788afe5078d064ab2,1696469927,0x0e9b5b092cad6f1c5e6bc7f89ffe1abb5c95f1c2,0xe37e799d5077682fa0a244d46e5649f71457bd09,18281082,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,800000000000000000,0xba3335588d9403515223f109edc4eb7269a9ab5d,GEAR,311500816233016508913802,1322.033248,8203.685496312723,0x0e9b5b092cad6f1c5e6bc7f89ffe1abb5c95f1c2
Curve,0xe6e7461edcec0822cdc8a2146f20c022faf19725bc43fef132e22d573e3fbefa,1696448363,0x390f3595bca2df7d23783dfd126427cceb997bf4,0xc1c5ee0c9d48cdffd61d51f782f59acc32861769,18279298,0xf939e0a03fb07f59a73314e73794be0e57ac1b4e,crvUSD,18506960166410116377795,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,18488186437,18486.685791547814,18488.186437,0x390f3595bca2df7d23783dfd126427cceb997bf4
Curve,0xe6f8e114cf0a67cddbc496706e9bc05f9445c668bd65d88c52b355f9b9d8d5cd,1696473983,0x7e050cf658777cc1da4a4508e79d71859044b60e,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,18281419,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,600000000000000000,0xe80c0cd204d654cebe8dd64a4857cab6be8345a3,JPEG,2002175251293845080880972,991.524936,979.0636978826902,0x7e050cf658777cc1da4a4508e79d71859044b60e
